Acronym;SAT ID;Launch;(expected) EOL;Satellite Programme;Agencies;Orbit;Altitude;Longitude;Inclination;Ect;Sat status;Payload;Last update
NOAA-10;332;1986-09-17;2001-08-30;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;810 km;;;07:30 desc;Inactive;"EPIC (DSCOVR)
ES
FC
MAG (DSCOVR)
NISTAR";2021-04-26 20:37:14
Meteor-2-15;268;1987-01-05;1988-07-05;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;DMAC;2017-08-03 00:31:52
MOS-1;311;1987-02-19;1995-11-29;Marine Observatory Satellite ;"JAXA
";SunSync;908 km;;;10:15 desc;Inactive;HiRAIS;2021-01-18 22:55:19
GOES-7;143;1987-02-26;1996-01-11;Geostationary Operational Environmental Satellite - 1st generation;"NOAA
NASA";GEO;35786 km;75 ° W;;;Inactive;KHCS;2021-03-06 13:05:44
DMSP-F08;55;1987-06-18;2006-10-01;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;856 km;;;06:10 desc;Inactive;"ATLID
BBR
CPR (Earth-CARE)
MSI";2021-01-19 17:19:07
Okean-O1-2;351;1987-07-16;1989-07-16;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;"IREI
MBEI";2015-07-27 20:31:46
Meteor-2-16;269;1987-08-18;1989-02-18;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;MSI (EgyptSat);2017-08-03 11:53:08
Meteor-2-17;270;1988-01-30;1990-07-30;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;MSI (EgyptSat);2019-05-24 16:53:14
DMSP-F09;56;1988-02-03;1994-08-01;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;832 km;;;09:30 desc;Inactive;"DCS (Electro)
RMS-platform
RMS-solar
RMS/MAG
STR (Electro)";2015-07-28 10:17:12
IRS-1A;196;1988-03-17;1992-07-01;Indian Remote-sensing Satellite;"ISRO
";SunSync;904 km;;;10:30 desc;Inactive;"DCS (Electro)
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
GGAK-E/VUSS-E
MSU-GS";2017-07-18 12:35:53
Resurs-O1-2;377;1988-04-20;1999-06-01;Resurs Operational - 1;"Roscosmos
RosHydroMet";SunSync;650 km;;;10:15 asc;Inactive;"DCS (Electro)
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
GGAK-E/VUSS-E
MSU-GS";2020-08-18 18:15:12
Meteosat-3;297;1988-06-15;1991-08-01;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;"DCS (Electro)
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/GALS-E
GGAK-E/SKIF-6
GGAK-E/VUSS-E
MSU-GS";2021-03-20 13:46:00
Okean-O1-3;352;1988-07-05;1990-07-05;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;"DCS (Electro)
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/ISP-2M
GGAK-E/SKIF-6
GGAK-E/VUSS-E
MSU-GS";2020-08-18 19:33:37
INSAT-1C;183;1988-07-22;1989-11-22;Indian National Satellite - 1;"ISRO
";GEO;35786 km;93.5 ° E;;;Inactive;"DCS (Electro)
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/ISP-2M
GGAK-E/SKIF-6
GGAK-E/VUSS-E
MSU-GS";2020-08-18 19:34:27
Meteor-3-2;277;1988-07-26;1990-07-26;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1200 km;;82.5°;;Inactive;"DCS (Electro)
ERBR
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/ISP-2M
GGAK-E/SKIF-6
GGAK-E/VUSS-E
IRFS-GS
LM
MSU-GSM";2020-08-18 20:17:01
FY-1A;101;1988-09-07;1988-10-16;Feng-Yun - 1;"CMA
NRSCC";SunSync;900 km;;;15:30 asc;Inactive;"DCS (Electro)
ERBR
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/ISP-2M
GGAK-E/SKIF-6
GGAK-E/VUSS-E
IRFS-GS
LM
MSU-GSM";2020-08-18 20:17:27
NOAA-11;333;1988-09-24;2004-06-16;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;843 km;;;14:10 asc;Inactive;"DCS (Electro)
ERBR
GEOS&R (Electro)
GGAK-E/DIR-E
GGAK-E/FM-E
GGAK-E/GALS-E
GGAK-E/ISP-2M
GGAK-E/SKIF-6
GGAK-E/VUSS-E
IRFS-GS
LM
MSU-GSM";2020-08-18 20:17:52
Meteor-2-18;271;1989-02-28;1990-08-28;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;940 km;;82.5°;;Inactive;HSI (EnMAP);2021-01-16 12:11:15
Meteosat-4;298;1989-03-06;1995-11-08;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;"AATSR
ASAR
DORIS
GOMOS
LRR (ESA)
MERIS
MIPAS
MWR (Envisat)
RA-2
SCIAMACHY-limb
SCIAMACHY-nadir";2019-10-29 21:24:03
Okean-O1-4;353;1989-06-09;1989-06-09;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;SAR-X (RISAT-2);2021-03-03 23:07:55
Himawari-4 (GMS-4);163;1989-09-06;2000-02-24;Himawari 1st generation (Geostationary Meteorological Satellite);"JMA
JAXA";GEO;35786 km;140 ° E;;;Inactive;"ERBE
SAGE-II";2015-07-27 20:36:18
Meteor-3-3;278;1989-10-24;1991-10-24;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1240 km;;82.5°;;Inactive;"HEP-e
LEP-e
LEP-i
MEP-e
MEP-i
MGF (ERG)
PWE
XEP-e";2021-01-19 00:01:28
SPOT-2;413;1990-01-22;2009-07-01;Satellite Pour l’Observation de la Terre;"CNES
Spot Image";SunSync;822 km;;;10:30 desc;Inactive;"AMI-SAR
AMI-SCAT
ATSR
LRR (ESA)
PRARE
RA";2019-10-30 02:17:06
MOS-1B;312;1990-02-07;1996-04-25;Marine Observatory Satellite ;"JAXA
";SunSync;908 km;;;10:35 desc;Inactive;"AMI-SAR
AMI-SCAT
ATSR-2
GOME
LRR (ESA)
MWR (Envisat)
PRARE
RA";2019-10-30 02:22:16
Okean-O1-5;354;1990-02-28;1992-02-28;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;"FPR
VCS-WA";2015-07-27 20:38:40
INSAT-1D;184;1990-06-12;2002-05-14;Indian National Satellite - 1;"ISRO
";GEO;35786 km;74 ° E;;;Inactive;APT;2015-07-27 20:39:09
Meteor-2-19;272;1990-06-27;1991-12-27;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;"AVCS
FPR";2015-07-27 20:39:42
CRRES;710;1990-07-25;1991-10-12;Combined Release and Radiation Effects Satellite;"NASA
DoD";DRIFT;3400 km;;18°;;Inactive;APT;2015-07-27 20:40:14
FY-1B;102;1990-09-03;1991-08-05;Feng-Yun - 1;"CMA
NRSCC";SunSync;900 km;;;07:50 desc;Inactive;"AVCS
FPR";2015-07-27 20:41:00
Meteor-2-20;273;1990-09-28;1992-03-28;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;APT;2015-07-27 20:41:27
DMSP-F10;57;1990-12-01;1997-10-24;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;790 km;;;07:30 desc;Inactive;"AVCS
FPR";2015-07-27 20:49:48
Meteosat-5;299;1991-03-02;1998-06-01;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;APT;2015-07-27 20:51:31
Meteor-3-4;279;1991-04-24;1993-04-24;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1200 km;;82.5°;;Inactive;"AVCS
FPR";2015-07-27 20:52:19
NOAA-12;334;1991-05-14;2007-08-10;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;804 km;;;05:10 desc;Inactive;FPR;2016-10-19 18:12:37
Okean-O1-6;355;1991-06-04;1993-06-04;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;HiRI;2019-09-16 17:51:43
ERS-1;89;1991-07-17;2000-03-10;European Remote-sensing Satellite;"ESA
";SunSync;785 km;;;10:30 desc;Inactive;HiRI;2021-03-06 14:29:31
Meteosat-3 (ADC);531;1991-08-01;1993-02-01;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;50 ° W;;;Inactive;FLORIS;2020-08-21 13:32:45
Meteor-3-5;280;1991-08-15;1993-08-15;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1200 km;;82.5°;;Inactive;"IPEI
OCI (FORMOSAT)";2017-08-01 11:17:04
IRS-1B;197;1991-08-29;2001-07-01;Indian Remote-sensing Satellite;"ISRO
";SunSync;904 km;;;10:30 desc;Inactive;"ISUAL
RSI";2017-08-01 01:47:34
Solar-A (Yohkoh);566;1991-08-30;2001-12-15;Solar;"JAXA
";DRIFT;645 km;;31.3°;;Inactive;"AIP
RSI (FORMOSAT-5)";2017-11-28 13:16:19
UARS;446;1991-09-12;2005-12-14;Upper Atmosphere Research Satellite;"NASA
";DRIFT;570 km;;57°;;Inactive;FORUM;2021-01-19 17:21:31
DMSP-F11;58;1991-11-28;2000-08-07;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;853 km;;;05:00 desc;Inactive;"MVISR
SEM/HEPD
SEM/IMS";2021-03-19 22:43:46
JERS;207;1992-02-11;1998-10-11;Japanese Earth Resources Satellite;"JAXA
";SunSync;568 km;;;10:45 desc;Inactive;"MVISR
SEM/HEPD
SEM/IMS";2018-10-11 15:18:05
GEOTAIL;475;1992-07-02;2020-11-30;GEOTAIL;"JAXA
NASA";MAG;;;29°;;Operational;"MVISR
SEM/HEPD
SEM/IMS";2017-12-11 00:47:59
SAMPEX;598;1992-07-03;2012-11-13;Solar Anomalous and Magnetospheric Particle Explorer;"NASA
";DRIFT;590 km;;82°;;Inactive;"MVISR
SEM/HEPD
SEM/IMS";2017-12-11 00:48:29
INSAT-2A;185;1992-07-10;2002-05-30;Indian National Satellite - 2;"ISRO
";GEO;35786 km;74 ° E;;;Inactive;"DCS (FY)
S-VISSR (FY-2A/B)
SEM (FY-2)";2019-05-30 21:01:41
TOPEX-Poseidon;443;1992-08-10;2005-10-09;Topography Experiment + Poseidon;"NASA
CNES";DRIFT;1336 km;;66°;;Inactive;"DCS (FY)
S-VISSR (FY-2A/B)
SEM (FY-2)";2019-05-30 21:02:21
LAGEOS-2;218;1992-10-22;2041-11-30;Laser Geodynamics Satellite;"ASI
NASA";DRIFT;5780 km;;52.6°;;Operational;"DCS (FY)
S-VISSR (FY-2C/D/E)
SEM (FY-2)";2019-05-30 21:03:15
Meteosat-3 (X-ADC);532;1993-02-01;1995-11-22;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;75 ° W;;;Inactive;"DCS (FY)
S-VISSR (FY-2C/D/E)
SEM (FY-2)";2019-05-30 21:03:58
SCD-1;391;1993-02-09;2020-11-30;Satélite de Coleta de Dados;"INPE
AEB";DRIFT;750 km;;25°;;Operational;"DCS (FY)
S-VISSR (FY-2C/D/E)
SEM (FY-2)";2019-11-27 04:46:04
INSAT-2B;186;1993-07-23;2004-07-01;Indian National Satellite - 2;"ISRO
";GEO;35786 km;93.5 ° E;;;Inactive;"DCS (FY)
S-VISSR (FY-2F/G/H)
SEM (FY-2)
SXM";2021-01-18 18:45:34
NOAA-13;335;1993-08-09;1993-08-21;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;820 km;;;14:00 asc;Inactive;"DCS (FY)
S-VISSR (FY-2F/G/H)
SEM (FY-2)
SXM";2021-01-18 18:46:46
Meteor-2-21;274;1993-08-31;1995-02-28;Meteor-2;"RosHydroMet
Roscosmos";DRIFT;950 km;;82.5°;;Inactive;"DCS (FY)
S-VISSR (FY-2F/G/H)
SEM (FY-2)
SXM";2019-05-31 00:42:17
IRS-1E (IRS-P1);200;1993-09-20;1993-09-20;Indian Remote-sensing Satellite;"ISRO
";SunSync;904 km;;;10:30 desc;Lost at launch;"ERM-1
IRAS
MERSI-1
MWHS-1
MWRI
MWTS-1
SBUS
SEM/HEPD
SEM/IMS
SIM-1
TOU
VIRR (FY-3)";2019-10-28 20:10:18
SPOT-3;414;1993-09-26;1996-11-14;Satellite Pour l’Observation de la Terre;"CNES
Spot Image";SunSync;822 km;;;10:30 desc;Inactive;"ERM-1
IRAS
MERSI-1
MWHS-1
MWRI
MWTS-1
SBUS
SEM/HEPD
SEM/IMS
SIM-1
TOU
VIRR (FY-3)";2020-09-09 17:33:35
STELLA;420;1993-09-30;2049-11-30;Satellite de Taille Adaptée avec Réflecteurs Laser pour les Etudes de la Terre;"CNES
";DRIFT;800 km;;98.6°;;Operational;"ERM-1
GNOS
IRAS
MERSI-1
MWHS-2
MWRI
MWTS-2
SBUS
SEM/HEPD
SEM/IMS
SIM-1
TOU
VIRR (FY-3)";2021-01-18 18:51:26
Landsat-6;224;1993-10-05;1993-10-05;Landsat;"USGS
NASA";SunSync;705 km;;;09:45 desc;Lost at launch;"GAS
GNOS
HIRAS
MERSI-2
MWHS-2
MWRI
MWTS-2
SWS/IPM
SWS/SEM/HEPD
SWS/SEM/IMS
SWS/WAI";2020-08-19 01:40:27
Meteosat-6;300;1993-11-20;2007-04-27;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;"GNOS-2
HIRAS-2
MERSI-LL
MWHS-2
MWTS-3
SIM-2
SSIM
SWS/MIPM
SWS/SEM/HEPD
SWS/SEM/IMS
SWS/SEM/MFD
WindRAD
XEUVI";2020-09-09 16:15:07
Meteor-3-6;281;1994-01-25;1996-01-25;Meteor-3;"RosHydroMet
Roscosmos";DRIFT;1210 km;;82.5°;;Inactive;"GAS
GNOS-2
HIRAS-2
MERSI-2
MWHS-2
MWRI
MWTS-3
SWS/IPM
SWS/SEM/MFD
SWS/WAI";2020-09-09 17:14:54
Coronas-I;567;1994-03-02;1994-07-15;Complex Orbital Observations Near-Earth of Activity of the Sun;"Roscosmos
";DRIFT;550 km;;82.5°;;Inactive;"GNOS-2
MERSI-2
MWRI
Rainradar";2020-09-09 16:30:07
GOES-8;144;1994-04-13;2004-05-05;Geostationary Operational Environmental Satellite - 2nd generation;"NOAA
NASA";GEO;35786 km;75 ° W;;;Inactive;"ERM-2
GNOS-2
HIRAS-2
MERSI-2
MWHS-2
MWRI
MWTS-3
OMS-limb
OMS-nadir
SIM-2
SWS/SEM/MFD";2020-09-09 17:16:10
DMSP-F12;59;1994-08-29;2008-10-13;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;850 km;;;03:35 desc;Inactive;"GNOS-2
HIRAS-2
MERSI-LL
MWHS-2
MWTS-3
SIM-2
SSIM
SWS/MIPM
SWS/SEM/HEPD
SWS/SEM/IMS
SWS/SEM/MFD
WindRAD";2020-09-09 17:03:22
Okean-O1-7;356;1994-10-11;1996-10-11;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;660 km;;82.5°;;Inactive;"GNOS-2
MERSI-2
MWRI
Rainradar";2020-09-09 16:33:18
IRS-P2;201;1994-10-15;1997-09-15;Indian Remote-sensing Satellite;"ISRO
";SunSync;817 km;;;10:30 desc;Inactive;"AGRI
DCS (FY)
GIIRS
LMI
SEP-fields
SEP/HEPS";2019-05-31 00:17:45
Electro-GOMS;72;1994-10-31;2000-11-15;Electro;"RosHydroMet
Roscosmos";GEO;35786 km;76.5 ° E;;;Inactive;"AGRI
DCS (FY)
GFI
GIIRS
LEPS
MEPS
SEP-fields
SEP/HEPS
SXEUV";2020-09-09 17:20:41
WIND;488;1994-11-01;2020-11-30;Wind ;"NASA
";L1;1.5e+06 km;;;;Operational;"AGRI
DCS (FY)
GIIRS
LEPS
LMI
MEPS
MUSI
SEP-fields
SEP/HEPS
SUVI (FY-4)
SXEUV
SXUS
XEUVI";2020-09-09 17:22:19
Resurs-O1-3;378;1994-11-04;2001-05-15;Resurs Operational - 1;"Roscosmos
RosHydroMet";SunSync;675 km;;;10:15 asc;Inactive;"AGRI
DCS (FY)
GIIRS
LEPS
LMI
MEPS
MUSI
SEP-fields
SEP/HEPS
SUVI (FY-4)
SXEUV
SXUS
XEUVI";2020-09-09 17:23:55
NOAA-14;336;1994-12-30;2007-05-23;NOAA 4th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;844 km;;;09:30 desc;Inactive;"AGRI
DCS (FY)
GIIRS
LEPS
LMI
MEPS
MUSI
SEP-fields
SEP/HEPS
SUVI (FY-4)
SXEUV
SXUS
XEUVI";2020-08-19 12:41:04
Himawari-5 (GMS-5);164;1995-03-18;2003-05-22;Himawari 1st generation (Geostationary Meteorological Satellite);"JMA
JAXA";GEO;35786 km;140 ° E;;;Inactive;"AGRI
DCS (FY)
GIIRS
LEPS
LMI
MEPS
MUSI
SEP-fields
SEP/HEPS
SUVI (FY-4)
SXEUV
SXUS
XEUVI";2020-08-19 12:41:41
DMSP-F13;60;1995-03-24;2015-02-03;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;850 km;;;05:51 desc;Inactive;"AGRI
DCS (FY)
GIIRS
LEPS
LMI
MEPS
MUSI
SEP-fields
SEP/HEPS
SUVI (FY-4)
SXEUV
SXUS
XEUVI";2020-08-19 12:42:09
OrbView-1/MicroLab;309;1995-04-01;2000-04-03;Orbview-1 (former: MicroLab);"NASA
UCAR";DRIFT;785 km;;70°;;Inactive;O3 lidar;2018-06-20 23:25:00
GFZ-1;591;1995-04-19;1999-06-23;GeoForschungsZentrum-1 Geodesy Satellite;"DLR
";DRIFT;398 km;;51.6°;;Inactive;EMU;2016-10-11 19:48:03
ERS-2;90;1995-04-21;2011-07-06;European Remote-sensing Satellite;"ESA
";SunSync;785 km;;;10:30 desc;Inactive;SGLI;2018-07-11 10:24:16
GOES-9;145;1995-05-23;2003-05-22;Geostationary Operational Environmental Satellite - 2nd generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;AMSR2;2021-01-18 18:53:03
SICH-1;403;1995-08-31;2001-12-14;Okean Operational 1;"NSAU
Roscosmos
RosHydroMet";DRIFT;650 km;;82.5°;;Inactive;;2016-06-30 01:55:42
RadarSat-1;366;1995-11-04;2013-03-29;RadarSat;"CSA
";SunSync;798 km;;;06:00 desc;Inactive;"AMI
KSEM/CM
KSEM/MG
KSEM/PD";2019-08-02 13:32:54
SOHO;458;1995-12-02;2020-11-30;Solar and Heliospheric Observatory;"ESA
NASA";L1;1.5e+06 km;;;;Operational;"GEMS
GOCI-II";2021-03-04 00:15:40
INSAT-2C;187;1995-12-07;2002-04-15;Indian National Satellite - 2;"ISRO
";GEO;35786 km;93.5 ° E;;;Inactive;GeoCarb;2018-06-20 00:54:53
IRS-1C;198;1995-12-28;2005-09-21;Indian Remote-sensing Satellite;"ISRO
";SunSync;817 km;;;10:30 desc;Inactive;GIS;2019-12-28 19:17:22
Polar;487;1996-02-24;2008-04-15;Polar;"NASA
";MAG;;;86°;;Inactive;GRA;2015-07-27 23:30:13
IRS-P3;202;1996-03-21;2004-10-15;Indian Remote-sensing Satellite;"ISRO
";SunSync;817 km;;;10:30 desc;Inactive;"CPI
EFD
EPIC
HEP
LEP
MGF
PWI";2021-01-18 22:00:29
TOMS Earth Probe;442;1996-07-02;2006-12-02;Total Ozone Mapping Spectrometer - Earth Probe;"NASA
";SunSync;750 km;;;12:00 desc;Inactive;"PMS
WFV";2021-01-18 23:17:18
ADEOS;2;1996-08-17;1997-06-30;Advanced Earth Observing Satellite (original name: “Midori”);"JAXA
";SunSync;797 km;;;10:30 desc;Inactive;PMS;2018-07-03 16:13:47
SAC-B;383;1996-11-04;1996-11-04;Satélite de Aplicaciones Cientificas;"CONAE
AEB
INPE
NASA";DRIFT;550 km;;38°;;Lost at launch;PMS;2018-07-03 16:14:41
DMSP-F14;61;1997-04-04;2016-11-30;Defense Meteorological Satellite Program - Block 5D-2;"DoD
NOAA";SunSync;852 km;;;17:00 asc;Presumably inactive;PMS;2018-07-03 16:15:37
GOES-10;146;1997-04-25;2006-12-01;Geostationary Operational Environmental Satellite - 2nd generation;"NOAA
NASA";GEO;35786 km;135 ° W;;;Inactive;PMS-2;2020-09-08 18:55:30
INSAT-2D;188;1997-06-04;1997-10-04;Indian National Satellite - 2;"ISRO
";GEO;35786 km;93.5 ° E;;;Inactive;PMS-2;2020-09-08 18:47:59
FY-2A;105;1997-06-10;1998-04-08;Feng-Yun - 2;"CMA
NRSCC";GEO;35786 km;105 ° E;;;Inactive;PMS-2;2021-03-02 23:48:44
OrbView-2/SeaStar;395;1997-08-01;2010-12-11;OrbView-2 (former: SeaStar);"GeoEye
";SunSync;705 km;;;12:00 desc;Inactive;SAR-C (GF-3);2020-09-08 18:56:16
ACE;454;1997-08-25;2025-11-30;Advanced Composition Explorer;"NASA
NOAA";L1;1.5e+06 km;;;;Operational;SAR-C (GF-3);2021-04-02 20:26:48
Meteosat-7;535;1997-09-02;2006-12-05;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;;;;Inactive;;2021-03-02 23:55:39
IRS-1D;199;1997-09-29;2010-01-15;Indian Remote-sensing Satellite;"ISRO
";SunSync;778 km;;;10:30 desc;Inactive;PMS-2;2021-03-03 00:04:50
TRMM;445;1997-11-27;2015-04-08;Tropical Rainfall Measuring Mission;"NASA
JAXA";DRIFT;402 km;;35°;;Inactive;PMS-2;2021-01-18 23:18:07
GFO;134;1998-02-10;2008-10-22;Geodetic Satellite;"DoD
NASA";DRIFT;784 km;;108°;;Inactive;SAR-C (GF-3);2020-09-08 18:37:54
SPOT-4;415;1998-03-24;2013-01-11;Satellite Pour l’Observation de la Terre;"CNES
Spot Image";SunSync;832 km;;;10:30 desc;Inactive;GF-4 imager;2020-09-08 18:36:51
TRACE;461;1998-04-02;2010-06-21;Transition Region and Coronal Explorer;"NASA
";SunSync;627 km;;;06:00 asc;Inactive;"AHSI
AIUS
DPC
EMI
GMI (GF-5)
VIMS";2020-09-08 18:42:37
NOAA-15;337;1998-05-13;2020-11-30;NOAA 5th generation / Polar Operational Environmental Satellites;"NOAA
";SunSync;813 km;;;07:23 desc;Operational;"PMS
WFV";2020-09-08 18:43:18
Meteosat-5 (IODC);533;1998-06-01;2007-04-26;Meteosat First Generation;"EUMETSAT
ESA";GEO;35786 km;63 ° E;;;Inactive;PMS-2;2020-09-08 18:51:17
Resurs-O1-4;379;1998-07-10;2002-01-15;Resurs Operational - 1;"Roscosmos
RosHydroMet";SunSync;835 km;;;10:15 asc;Inactive;PMS-2;2020-09-08 18:34:42
SCD-2;392;1998-10-22;2020-11-30;Satélite de Coleta de Dados;"INPE
AEB";DRIFT;750 km;;25°;;Operational;PMS-2;2020-09-08 18:35:46
SAC-A;382;1998-12-04;1999-08-15;Satélite de Aplicaciones Cientificas;"CONAE
AEB
INPE
NASA";DRIFT;395 km;;51.6°;;Inactive;PMS-2;2021-03-02 23:34:32
FORMOSAT-1;733;1999-01-26;2004-06-17;FORMOSAT;"NSPO
UCAR";DRIFT;600 km;;35°;;Inactive;PMS-2;2021-03-02 23:35:16
Ørsted;357;1999-02-23;2013-12-31;Ørsted (Oersted);"DNSC
CNES
NASA";DRIFT;750 km;;96.5°;;Inactive;PMS-2;2021-03-02 23:36:05
INSAT-2E;189;1999-04-03;2012-04-15;Indian National Satellite - 2;"ISRO
";GEO;35786 km;83 ° E;;;Inactive;PMS-2;2021-03-02 23:36:59
Landsat-7;225;1999-04-15;2020-11-30;Landsat;"USGS
NASA";SunSync;705 km;;;10:00 desc;Operational;"GFO-RA
LRA (NASA)
TRSR
WVR";2015-07-27 23:32:42
FY-1C;103;1999-05-10;2004-04-26;Feng-Yun - 1;"CMA
NRSCC";SunSync;862 km;;;07:00 desc;Inactive;RRA;2015-07-27 23:33:34
OceanSat-1 (IRS-P4);343;1999-05-26;2010-08-08;Satellite for the Ocean;"ISRO
";SunSync;723 km;;;12:00 desc;Inactive;"HyS-SWIR
HyS-VNIR
MX-LWIR
MX-VNIR";2021-04-27 10:47:02
QuikSCAT;365;1999-06-19;2009-11-23;Quick Scatterometer Mission;"NASA
";SunSync;803 km;;;06:00 asc;Inactive;"HyS-SWIR
HyS-VNIR
MX-LWIR
MX-VNIR";2021-01-16 14:37:23
Okean-O-1;349;1999-07-17;2000-09-15;Okean-O;"NSAU
Roscosmos
RosHydroMet";DRIFT;648 km;;82.5°;;Inactive;"APS
CC
TIM ";2015-07-27 23:35:16
Ikonos;502;1999-09-24;2015-03-31;GeoEye;"GeoEye
";SunSync;686 km;;;10:30 desc;Inactive;"EGG
LRR (ESA)
SSTI";2015-07-27 23:39:52
CBERS-1;25;1999-10-14;2003-10-12;China-Brazil Earth Resources Satellite;"CAST
AEB
CRESDA
INPE";SunSync;778 km;;;10:30 desc;Inactive;"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VISSR";2015-07-28 10:52:00
XMM-Newton;709;1999-12-10;2020-11-30;X-ray Multi-Mirror Mission Observatory - Newton;"ESA
";DRIFT;40000 km;;40°;;Operational;"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER";2021-03-20 22:10:37
DMSP-F15;62;1999-12-12;2020-11-30;Defense Meteorological Satellite Program - Block 5D-3;"DoD
NOAA";SunSync;850 km;;;14:50 asc;Unclear;"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER";2021-03-20 22:11:34
Terra;81;1999-12-18;2020-11-30;Earth Observation System;"NASA
";SunSync;705 km;;;10:30 desc;Operational;"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER";2021-03-20 22:12:28
ACRIMSat;1;1999-12-20;2013-12-14;Active Cavity Radiometer Irradiance Monitor Satellite;"NASA
";SunSync;696 km;;;10:50 desc;Inactive;"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI";2021-03-20 22:13:24
KOMPSAT-1;213;1999-12-20;2008-01-31;Korea Multi-Purpose Satellite;"KARI
";SunSync;685 km;;;10:50 asc;Inactive;"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SOUNDER";2021-03-20 22:14:15
INSAT-3B;191;2000-03-22;2010-11-02;Indian National Satellite - 3;"ISRO
";GEO;35786 km;83 ° E;;;Inactive;"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI";2020-08-19 14:40:40
