Mission ID;Mission Name Short;Mission Name Full;Mission Agencies;Mission Status;Launch Date;EOL Date;Applications;Instruments;Instrument IDs;Orbit Type;Orbit Altitude;Orbit Period;Orbit Inclination;Repeat Cycle;Orbit LST;Orbit Longitude;Orbit Sense;Mission Site;Data Access Portal
700;FY-2G;FY-2G Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Operational (extended);31 Dec 2014;Dec 2020;"Meteorology and environmental monitoring; data collection and redistribution.";;;Geostationary;36000 km;;;;;;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
701;FY-2H;FY-2H Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Operational (nominal);05-juin-18;Dec 2020;"Meteorology and environmental monitoring; data collection and redistribution.";;;Geostationary;36000 km;;;;;;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
367;FY-3B;FY-3B Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Operational (extended);05-nov-10;Dec 2020;"Meteorology and environmental monitoring; data collection and redistribution. (Experimental pre-cursor to FY-3C).";ERM, IRAS, MERSI, MWHS, MWRI, MWTS, SEM, SIM, TOU/SBUS, VIRR;884, 666, 893, 669, 672, 895, 974, 975, 906, 684;Sun-synchronous;830 km;101 mins;98.753 deg;;14:00;;Ascending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
368;FY-3C;FY-3C Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Operational (nominal);23-sept-13;Dec 2020;"Meteorology and environmental monitoring; data collection and redistribution. (Operational follow-on to FY-3B). FY-3C suffered a problem on May 30th 2015 and has recovered gradually over time. At present, 10 of 12 onboard instruments are back in operation.";ERM, GNOS, IRAS, MERSI, MWHS-2, MWRI, MWTS-2, SES, SIM-2, TOU/SBUS, VIRR;884, 1619, 666, 893, 1621, 672, 668, 1624, 1632, 906, 684;Sun-synchronous;830 km;101 mins;98.753 deg;;10:00;;Descending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
369;FY-3D;FY-3D Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Operational (nominal);15-nov-17;Dec 2022;"Meteorology and environmental monitoring; data collection and redistribution.";ASI, GAS, GNOS, HIRAS, MERSI-2, MWHS-2, MWRI, MWTS-2, SES, WAI;1616, 1618, 1619, 670, 1620, 1621, 672, 668, 1624, 1850;Sun-synchronous;830 km;101 mins;98.753 deg;;14:00;;Ascending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
370;FY-3E;FY-3E Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2021;2026;"Meteorology and environmental monitoring; data collection and redistribution.";ASI, ERM-2, GNOS, HIRAS, MERSI-2, MWHS-2, MWTS-2, SES, SIM-2, WindRAD;1616, 1617, 1619, 670, 1620, 1621, 668, 1624, 1632, 1625;Sun-synchronous;830 km;101 mins;98.753 deg;;10:00;;Descending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
371;FY-3F;FY-3F Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2021;2026;"Meteorology and environmental monitoring; data collection and redistribution.";ASI, GAS, GNOS, HIRAS, MERSI-2, MVIRS, MWHS-2, MWRI, MWTS-2, SES;1616, 1618, 1619, 670, 1620, 671, 1621, 672, 668, 1624;Sun-synchronous;830 km;101 mins;98.753 deg;;14:00;;Ascending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
823;FY-3H;FY-3H Polar-orbiting Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2022;2028;"Meteorology and environmental monitoring; data collection and redistribution.";ASI, ERM-2, GNOS, HIRAS, MERSI-2, MVIRS, MWHS-2, MWTS-2, OMS, SIM-2, WindRAD;1616, 1617, 1619, 670, 1620, 671, 1621, 668, 1623, 1632, 1625;Sun-synchronous;;;;;10:00;;Descending;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
800;FY-3RM-1;FY-3 Rainfall Mission 1;NSMC-CMA;Considered;2022;2027;Raifall measurement.;GNOS, MERSI-S, MWRI, PR;1619, 1759, 672, 1761;;;;;;;;;;
946;FY-3RM-2;FY-3 Rainfall Mission 2;NSMC-CMA;Considered;2023;2028;Raifall measurement.;GNOS, MERSI-S, MWRI, PR;1619, 1759, 672, 1761;;;;;;;;;;
532;FY-4A;FY-4A Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Operational (nominal);11 Dec 2016;Dec 2023;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
533;FY-4B;FY-4B Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2021;2027;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
534;FY-4C;FY-4C Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2023;2030;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
535;FY-4D;FY-4D Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2023;2030;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
536;FY-4E;FY-4E Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2027;2034;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
824;FY-4F;FY-4F Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2030;2037;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
825;FY-4G;FY-4G Geostationary Meteorological Satellite;NSMC-CMA, NRSCC;Planned;2033;2040;"Meteorology and environmental monitoring; data collection and redistribution.";AGRI, GIIRS, LMI, SEMIP/SEM;892, 1779, 891, 1780;Geostationary;36000 km;;;;;-105;N/A;http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html;http://satellite.cma.gov.cn/PortalSite/Default.aspx
360;GCOM-C;Global Change Observation Mission-Climate;JAXA;Operational (nominal);23 Dec 2017;Dec 2022;Understanding of climate change mechanism.;SGLI;901;Sun-synchronous;798 km;101 mins;98.6 deg;34;10:30;;Descending;https://global.jaxa.jp/projects/sat/gcom_c/;https://gportal.jaxa.jp/gpr/?lang=en
459;GCOM-W;Global Change Observation Mission-Water;JAXA;Operational (extended);18 May 2012;Dec 2020;Understanding of the water cycle mechanism.;AMSR-2;883;Sun-synchronous;700 km;98 mins;98.2 deg;16;13:30;;Ascending;https://global.jaxa.jp/projects/sat/gcom_w/ https://suzaku.eorc.jaxa.jp/GCOM_W/;https://www.gportal.jaxa.jp/gp/ (standard product) https://suzaku.eorc.jaxa.jp/GCOM_W/research/resdist.html (research product)
766;GEDI-on-ISS;International Space Station/Global Ecosystem Dynamics Investigation (GEDI) Lidar;NASA;Operational (nominal);05 Dec 2018;mars-21;This project will use a laser-based system to study a range of climates, including the observation of the forest canopy structure over the tropics, and the tundra in high northern latitudes.This data will help scientists better understand the changes in natural carbon storage within the carbon cycle from both human-influenced activities and natural climate variations.;GEDI;1717;Inclined, non-sun-synchronous;407 km;93 mins;51.6 deg;;;;Ascending;https://science.nasa.gov/missions/gedi;https://earthdata.nasa.gov/about/daacs/daac-lpdaac
842;GeoCarb;Geostationary Carbon Cycle Observatory;NASA;Approved;Dec 2022;Dec 2026;The GeoCarb mission provides persistent daytime measurements from a geostationary orbit (85° West +/- 10°) of the concentration of carbon dioxide (CO2), methane (CH4), carbon monoxide (CO), and it also provides measurements of solar-induced fluorescence (SIF). By measuring daily over the Americans (55° N/S Latitude) CO2, CH4, and CO concentrations and SIF under changing conditions at fine spatial scales roughly (5kmx5km), GeoCarb enables determination of major anthropogenic sources of CO2 and CH4 and breakthrough investigations of their natural sources and sinks. This provides the basis for a transformational improvement in our understanding of the carbon cycle, and it demonstrates an effective approach to monitoring CO2 and CH4, the two most important greenhouse gasses that is synergistic with measurements from Low Earth Orbit (LEO).;Scanning Spectrometer (GeoCarb);1784;Geostationary;35786 km;;;;;85;;https://www.nasa.gov/feature/jpl/geocarb-a-new-view-of-carbon-over-the-americas;
525;GEO-KOMPSAT-2A;Geostationary Korea Multi-Purpose Satellite-2A;KMA, Harris, KARI;Operational (nominal);04 Dec 2018;juil-29;Korea's geostationary meteorological satellite series.;Advanced MI;1575;Geostationary;35786 km;;;;;128.2;N/A;;
669;GEO-KOMPSAT-2B;Geostationary Korea Multi-Purpose Satellite-2B;KARI, KIOST, NIER, BATC;Operational (nominal);18 Feb 2020;Feb 2030;Korea's geostationary oceanographic and environmental satellite.;Advanced GOCI, GEMS;1574, 1583;Geostationary;35786 km;;;;;128.2;N/A;;
773;GF-1;Gaofen-1;CRESDA;Operational (nominal);26 Apr 2013;Dec 2020;Earth resources, environmental monitoring, land surface.;MUX (GF-1), PAN (GF-1), WFV;1726, 1728, 1730;Sun-synchronous;644 km;97.466 mins;97.9 deg;41;10:30;;Descending;http:/www.cresda.com/;
774;GF-2;Gaofen-2;CRESDA;Operational (nominal);19 Aug 2014;Aug 2021;Earth resources, environmental monitoring, land surface.;MUX (GF-2), PAN (GF-2);1727, 1729;Sun-synchronous;631 km;97.196 mins;97.9 deg;69;10:30;;Descending;http://www.cresda.com/;
847;GF-3;Gaofen-3;CRESDA;Operational (nominal);10 Aug 2016;Aug 2024;Earth resources, environmental monitoring, land surface.;C-SAR;1787;Sun-synchronous;755 km;;;;;;Descending;http://www.cresda.com/;
822;GF-4;Gaofen-4;CRESDA, NSMC-CMA;Operational (nominal);29 Dec 2015;Dec 2023;Earth resources, environmental monitoring, land surface.;MWIR (GF-4), VNIR (GF-4);1775, 1776;Geostationary;36000 km;;0 deg;;;;;http://www.cresda.com/;
693;GISAT;GEO HR IMAGER;ISRO;Approved;May 2021;May 2030;"Crop assessment, vegetation dynamics, drought assessment; quick monitoring of disasters, natural hazard and calamities, episodic events and short term events, oceanographic applications.";HRMX-TIR, HRMX-VNIR, HYSI-SWIR, HYSI-VNIR;1609, 1606, 1607, 1608;Geostationary;36000 km;;;;;;N/A;;
924;GLIMR;Geosynchronous Littoral Imaging and Monitoring Radiometer;NASA;Approved;juin-26;juin-28;GLIMR will make observations of rapidly evolving phytoplankton dynamics and hazards such as Harmful Algal Blooms (HABs) and oil spills in the Gulf of Mexico and other selected coastal regions of North and South America;GLIMR Instrument;1902;Geostationary;36000 km;;;;;;;https://eospso.gsfc.nasa.gov/missions/geosynchronous-littoral-imaging-and-monitoring-radiometer-evi-5;
495;GOES-13;Geostationary Operational Environmental Satellite - 13;NOAA;Operational (nominal);24 May 2006;juin-21;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering, WEFAX.;A-DCS4, DCS (GOES-R Series), GOES Comms, Imager, LRIT, S&R (GOES), SEM (GOES), Sounder, SXI;694, 954, 562, 331, 1501, 136, 637, 330, 141;Geostationary;36000 km;;;;;75;N/A;http://www.ospo.noaa.gov/Operations/GOES/index.html;
266;GOES-14;Geostationary Operational Environmental Satellite - 14;NOAA;Operational (nominal);27-juin-09;juin-24;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering, WEFAX. GOES-14 was placed into on-orbit storage on February 13, 2013.;A-DCS4, DCS (GOES-R Series), GOES Comms, Imager, LRIT, S&R (GOES), SEM (GOES), Sounder, SXI;694, 954, 562, 331, 1501, 136, 637, 330, 141;Geostationary;36000 km;;;;;105;N/A;http://www.ospo.noaa.gov/Operations/GOES/index.html;
335;GOES-15;Geostationary Operational Environmental Satellite - 15;NOAA;Operational (nominal);04-mars-10;juin-25;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering, WEFAX. GOES-15 was placed into on-orbit storage on August 9, 2020.;A-DCS4, DCS (GOES-R Series), GOES Comms, Imager, LRIT, S&R (GOES), SEM (GOES), Sounder, SXI;694, 954, 562, 331, 1501, 136, 637, 330, 141;Geostationary;36000 km;;;;;135;N/A;http://www.ospo.noaa.gov/Operations/GOES/index.html;
470;GOES-16;Geostationary Operational Environmental Satellite 16;NOAA, NASA;Operational (nominal);19-nov-16;nov-26;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.;ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI;870, 954, 951, 877, 878, 952, 953;Geostationary;36000 km;;;;;;N/A;http://www.goes-r.gov/;
546;GOES-17;Geostationary Operational Environmental Satellite - 17;NOAA, NASA;Operational (nominal);01-mars-18;oct-26;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.;ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI;870, 954, 951, 877, 878, 952, 953;Geostationary;36000 km;;;;;;N/A;http://www.goes-r.gov/;
727;GOES-T;Geostationary Operational Environmental Satellite - T;NOAA, NASA;Planned;2021;2034;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.;ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI;870, 954, 951, 877, 878, 952, 953;Geostationary;36000 km;;;;;;N/A;http://www.goes-r.gov/;
724;GOES-U;Geostationary Operational Environmental Satellite - U;NOAA, NASA;Planned;2024;2038;Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.;ABI, CCOR, DCS (GOES-R Series), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI;870, 1892, 954, 951, 877, 878, 952, 953;Geostationary;36000 km;;;;;;N/A;http://www.goes-r.gov/;
917;GOMX4;GomSpace Express-4;ESA, NSO;Operational (nominal);02 Feb 2018;Dec 2020;Demonstration of hyperspectral operations on a Cubesat. Demonstration of early warning capability leveraging heavy onboard processing for flooding, change detection, crop water factor, vegetation monitoring. Hyperspectral VNIR.;HyperScout;1890;Sun-synchronous;500 km;;;;14:00:00;;Descending;;
458;GOSAT;Greenhouse gases Observing SATellite;JAXA, MOE (Japan), NIES (Japan);Operational (extended);23-janv-09;janv-29;Observation of greenhouse gases (CO2, CH4) and solar-induced chlorophyll fluorescence (SIF).;TANSO-CAI, TANSO-FTS;904, 905;Sun-synchronous;666 km;98.18 mins;98.06 deg;3;13:00;;Descending;https://www.eorc.jaxa.jp/GOSAT/index.html;https://data2.gosat.nies.go.jp/index_en.html https://www.eorc.jaxa.jp/GOSAT/index.html
721;GOSAT-2;Greenhouse gases Observing SATellite-2;JAXA, MOE (Japan), NIES (Japan);Operational (nominal);29-oct-18;mars-24;Observation of greenhouse gases (CO2, CH4, CO) and solar-induced chlorophyll fluorescence (SIF).;TANSO-CAI-2, TANSO-FTS-2;1654, 1655;Sun-synchronous;613 km;96.9 mins;97.8 deg;6;13:00;;Descending;https://www.eorc.jaxa.jp/GOSAT/index.html;https://prdct.gosat-2.nies.go.jp/en/index.html https://www.eorc.jaxa.jp/GOSAT/index.html
862;GOSAT-GW;Global Observing SATellite for Greenhouse gases and Water cycle;JAXA, MOE (Japan), NIES (Japan);Approved;Apr 2023;mars-30;Observation of greenhouse gases and understanding of water cycle mechanisms;AMSR-3, TANSO-FTS-3;1804, 1805;Sun-synchronous;666 km;98.18 mins;98.06 deg;3;13:30;;Ascending;;
448;GPM Core;Global Precipitation Measurement Mission Core spacecraft;NASA, JAXA;Operational (extended);27 Feb 2014;sept-23;3-year nominal mission life, 5-year goal. Study of global precipitation, evaporation, and the water cycle. The mission comprises a primary spacecraft with active and passive microwave instruments, and a number of â€˜constellation spacecraft' with passive microwave instruments.;DPR, GMI;774, 773;Inclined, non-sun-synchronous;407 km;95 mins;65 deg;;N/A;;TBD;https://gpm.nasa.gov/ https://www.eorc.jaxa.jp/GPM/;https://search.earthdata.nasa.gov/search?q=GPM Core
686;GRACE-FO;Gravity Recovery and Climate Experiment - Follow-on;NASA, GFZ;Operational (nominal);22 May 2018;May 2023;5-year nominal mission life, Extremely high precision gravity measurements for use in construction of gravity field models. GRACE-FO will consists of two satellites (A, B) serving one mission in the same manner as the original GRACE mission;GRACE instrument, LRI, MWI;987, 1667, 1668;Inclined, non-sun-synchronous;500 km;98 mins;89 deg;;;;TBD;https://www.nasa.gov/missions/grace-fo;https://earthdata.nasa.gov/about/daacs/daac-podaac
728;Himawari-8;Himawari-8;JMA;Operational (nominal);07-oct-14;mars-30;Meteorology, environmental monitoring, data collection platform;AHI, Himawari Comms, Himawari DCS;1651, 1652, 1653;Geostationary;36000 km;;;;;-140.7;N/A;https://www.data.jma.go.jp/mscweb/en/support/support.html;https://www.data.jma.go.jp/mscweb/en/support/support.html
729;Himawari-9;Himawari-9;JMA;Operational (nominal);02-nov-16;mars-30;Meteorology, environmental monitoring, data collection platform;AHI, Himawari Comms, Himawari DCS;1651, 1652, 1653;Geostationary;36000 km;;;;;-140.7;N/A;https://www.data.jma.go.jp/mscweb/en/support/support.html;https://www.data.jma.go.jp/mscweb/en/support/support.html
465;HJ-1C;Huan Jing-1C;CRESDA, CAST;Operational (extended);19-nov-12;Dec 2021;Disaster and environment monitoring and forecasting. Small satellite constellation.;S-Band SAR;826;Inclined, non-sun-synchronous;499 km;;97.3 deg;31;06:00;;Descending;http:/www.cresda.com/;
947;HJ-2A;Huan Jing-2A;CRESDA, CAST;Operational (nominal);27-sept-20;Dec 2025;Disaster and environment monitoring and forecasting. Small satellite constellation.;CCD (HJ) Copy, HSI (HJ-1A) Copy, IR (HJ-1B) Copy;1911, 1909, 1910;Sun-synchronous;650 km;;97.9 deg;31;10:30;;Descending;http://www.cresda.com/;
948;HJ-2B;Huan Jing-2B;CRESDA, CAST;Operational (nominal);27-sept-20;Dec 2025;Disaster and environment monitoring and forecasting. Small satellite constellation.;CCD (HJ) Copy, HSI (HJ-1A) Copy, IR (HJ-1B) Copy;1911, 1909, 1910;Sun-synchronous;650 km;;97.9 deg;31;10:30;;Descending;http://www.cresda.com/;
852;HRSAT;High Resolution Satellite Constellation;ISRO;Approved;Aug 2021;Aug 2025;Large-scale cartographic mapping and natural resources assessment at 1:10000 scale;MX (HRSAT), PAN (HRSAT);1792, 1793;Sun-synchronous;660 km;;;;09:30;;Descending;;
762;HRWS SAR;High Resolution Wide Swath SAR;DLR;Planned;2026;2034;Cartography, land surface, civil planning and mapping, digital terrain models, environmental monitoring, digital elevation models.;HRWS X-Band Digital Beamforming SAR;1696;Sun-synchronous;514 km;94.85 mins;97.4 deg;11;18:00;;Ascending;;
826;HY-1C;Ocean color satellite C;NSOAS, CAST;Operational (nominal);07-sept-18;Dec 2020;Detecting ocean colour and sea surface temperature.;COCTS, CZI;827, 828;Sun-synchronous;798 km;;98.6 deg;7;10:30;;Descending;http://www.cast.cn/;
827;HY-1D;Ocean color satellite D;NSOAS, CAST;Operational (nominal);11-juin-20;juin-23;Detecting ocean colour and sea surface temperature.;COCTS, CZI;827, 828;Sun-synchronous;798 km;;98.6 deg;7;10:30;;Descending;http://www.cast.cn/;
828;HY-1E;Ocean color satellite E;NSOAS, CAST;Considered;2022;2025;Detecting ocean colour and sea surface temperature.;COCTS, CZI;827, 828;Sun-synchronous;798 km;;98.6 deg;7;10:30;;Descending;http://www.cast.cn/;
829;HY-1F;Ocean color satellite F;NSOAS, CAST;Considered;2023;2026;Detecting ocean colour and sea surface temperature.;COCTS, CZI;827, 828;Sun-synchronous;798 km;;98.6 deg;7;10:30;;Descending;http://www.cast.cn/;
609;HY-2A;Ocean dynamics satellite A;NSOAS, CAST;Operational (extended);16 Aug 2011;Dec 2020;Detecting ocean surface temperature, wind field, wave and topography.;ALT, DORIS-NG, RAD, SCAT;973, 181, 967, 972;Sun-synchronous;963 km;104 mins;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
718;HY-2B;Ocean dynamics satellite B;NSOAS, CAST;Operational (nominal);25-oct-18;Dec 2020;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
719;HY-2C;Ocean dynamics satellite C;NSOAS, CAST;Operational (nominal);21-sept-20;Dec 2023;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Inclined, non-sun-synchronous;957 km;;66 deg;;;;N/A;http://www.naoas.gov.cn/;
720;HY-2D;Ocean dynamics satellite D;NSOAS, CAST;Planned;2021;2024;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
830;HY-2E;Ocean dynamics satellite E;NSOAS, CAST;Planned;2021;2024;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
831;HY-2F;Ocean dynamics satellite F;NSOAS, CAST;Planned;2021;2024;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
832;HY-2G;Ocean dynamics satellite G;NSOAS, CAST;Planned;2022;2025;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
833;HY-2H;Ocean dynamics satellite H;NSOAS, CAST;Considered;2024;2027;Detecting ocean surface temperature, wind field, wave and topography.;ALT, RAD, SCAT;973, 967, 972;Sun-synchronous;963 km;;99.3 deg;14;06:00;;Descending;http://www.naoas.gov.cn/;
615;HY-3A;HY-3A;NSOAS, CAST;Planned;2021;2026;Ocean monitoring, environmental protection, coastal zone survey, etc.;WSAR;988;Sun-synchronous;;;;;;;;;
616;HY-3B;HY-3B;NSOAS, CAST;Planned;2021;2026;Ocean monitoring, environmental protection, coastal zone survey, etc.;WSAR;988;Sun-synchronous;;;;;;;;;
617;HY-3C;HY-3C;NSOAS, CAST;Planned;2022;2027;Ocean monitoring, environmental protection, coastal zone survey, etc.;WSAR;988;Sun-synchronous;;;;;;;;;
834;HY-3D;HY-3D;NSOAS, CAST;Considered;2024;2028;Ocean monitoring, environmental protection, coastal zone survey, etc.;WSAR;988;Sun-synchronous;;;;;;;;;
613;ICESat-2;Ice, Cloud, and Land Elevation Satellite 2;NASA;Operational (nominal);15-sept-18;Dec 2021;3-year nominal mission life, 5-year goal. Continue the assessment of polar ice changes and measure vegetation canopy heights, allowing estimates of biomass and carbon in aboveground vegetation in conjunction with related missions, and allow measurements of solid earth properties.;ATLAS;998;Inclined, non-sun-synchronous;500 km;97 mins;92 deg;91;;;TBD;https://icesat-2.gsfc.nasa.gov/;https://search.earthdata.nasa.gov/search?q=ICESat-2
442;INSAT-3D;Indian National Satellite - 3D;ISRO;Operational (extended);26-juil-13;Dec 2020;Meteorology, data collection and communication, search and rescue.;Imager (INSAT), Sounder (INSAT);788, 789;Geostationary;36000 km;;;;;-93.5;N/A;http://www.isro.org/;
707;INSAT-3DR;Indian National Satellite - 3DR (repeat);ISRO;Operational (nominal);08-sept-16;Dec 2025;Meteorology, data collection and communication, search and rescue.;Imager (INSAT), Sounder (INSAT);788, 789;Geostationary;36000 km;;;;;-93.5;N/A;http://www.isro.org/;
934;Ionosphera-M N1;Hydro-meteorological Satellite Ionosphera-M N1;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2021;Dec 2026;Hydrometeorology, heliogeophysics, climatology.;;;TBD;;;;;;;TBD;;
935;Ionosphera-M N2;Hydro-meteorological Satellite Ionosphera-M N2;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2021;Dec 2026;Hydrometeorology, heliogeophysics, climatology.;;;TBD;;;;;;;TBD;;
936;Ionosphera-M N3;Hydro-meteorological Satellite Ionosphera-M N3;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2022;Dec 2027;Hydrometeorology, heliogeophysics, climatology.;;;TBD;;;;;;;TBD;;
937;Ionosphera-M N4;Hydro-meteorological Satellite Ionosphera-M N4;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2022;Dec 2027;Hydrometeorology, heliogeophysics, climatology.;;;TBD;;;;;;;TBD;;
592;Jason-3;Jason-3;EUMETSAT, NOAA, CNES, NASA;Operational (nominal);17-janv-16;mars-21;3-year nominal mission lifetime, 5-year extended lifetime. Physical oceanography, geodesy/gravity, climate monitoring, marine meteorology.;AMR, DORIS-NG, GPSP, LRA, POSEIDON-3B Altimeter;882, 181, 983, 106, 1633;Inclined, non-sun-synchronous;1336 km;112.4 mins;66.05 deg;10;;;N/A;http://sealevel.jpl.nasa.gov/missions/jason3/;https://search.earthdata.nasa.gov/search?q=jason-3
667;JPSS-1;Joint Polar Satellite System - 1;NOAA, EUMETSAT, NASA;Operational (nominal);18-nov-17;sept-24;"Meteorological, climatic, terrestrial, oceanographic, and solar-geophysical applications; global and regional environmental monitoring, search and rescue, data collection.";ATMS, CERES, CrIS, OMPS, VIIRS;413, 397, 325, 681, 412;Sun-synchronous;833 km;101.5 mins;98.75 deg;16;13:30;;Ascending;http://www.jpss.noaa.gov;
668;JPSS-2;Joint Polar Satellite System - 2;NOAA, EUMETSAT, NASA;Planned;2022;2028;"Meteorological, climatic, terrestrial, oceanographic, and solar-geophysical applications; global and regional environmental monitoring, search and rescue, data collection. Note that free-flyer options are being considered for the A-DCS4 and SARSAT instruments, though these are considered part of the JPSS system.";ATMS, CrIS, OMPS, OMPS-L, VIIRS;413, 325, 681, 1718, 412;Sun-synchronous;833 km;101.5 mins;98.75 deg;16;13:30;;Ascending;http://www.jpss.noaa.gov;
